"",BBEX3.D.TRY.EUR.BB.AC.000,BBEX3.D.TRY.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = TRY ... / Turkey / from January 2005,
Comment (in english),"The ECB publishes daily euro foreign exchange reference rates, which are calculated on the basis of the concertation between central banks at 14.15. Currency conversion with effect from 1 January 2005: TRL 1,000,000 = TRY 1. Up to the end of 2004, see BBEX3:D:TRL:EUR:BB:AC:000.",
Decimals,4,
Source (in english),European Central Bank (ECB).,
Time format code,P1D,
category,WEDE,
unit,TRY,
unit multiplier,One,
last update,2025-01-31 16:00:08,
2013-10-04,2.7152,
2013-10-05,.,No value available
2013-10-06,.,No value available
2013-10-07,2.7087,
2013-10-08,2.6939,
2013-10-09,2.6857,
2013-10-10,2.6800,
2013-10-11,2.6837,
2013-10-12,.,No value available
2013-10-13,.,No value available
2013-10-14,2.6929,
2013-10-15,2.6828,
2013-10-16,2.6929,
2013-10-17,2.6890,
2013-10-18,2.6903,
2013-10-19,.,No value available
2013-10-20,.,No value available
2013-10-21,2.7021,
2013-10-22,2.7109,
2013-10-23,2.7160,
2013-10-24,2.7316,
2013-10-25,2.7367,
2013-10-26,.,No value available
2013-10-27,.,No value available
2013-10-28,2.7373,
2013-10-29,2.7388,
2013-10-30,2.7358,
2013-10-31,2.7167,
2013-11-01,2.7252,
2013-11-02,.,No value available
2013-11-03,.,No value available
2013-11-04,2.7273,
2013-11-05,2.7332,
2013-11-06,2.7428,
2013-11-07,2.7102,
2013-11-08,2.7178,
2013-11-09,.,No value available
2013-11-10,.,No value available
2013-11-11,2.7286,
2013-11-12,2.7516,
2013-11-13,2.7528,
2013-11-14,2.7500,
2013-11-15,2.7443,
2013-11-16,.,No value available
2013-11-17,.,No value available
2013-11-18,2.7299,
2013-11-19,2.7149,
2013-11-20,2.7197,
2013-11-21,2.7200,
2013-11-22,2.7251,
2013-11-23,.,No value available
2013-11-24,.,No value available
2013-11-25,2.7030,
2013-11-26,2.7280,
2013-11-27,2.7499,
2013-11-28,2.7424,
2013-11-29,2.7475,
2013-11-30,.,No value available
2013-12-01,.,No value available
2013-12-02,2.7524,
2013-12-03,2.7675,
2013-12-04,2.7809,
2013-12-05,2.7784,
2013-12-06,2.7876,
2013-12-07,.,No value available
2013-12-08,.,No value available
2013-12-09,2.7864,
2013-12-10,2.7902,
2013-12-11,2.7999,
2013-12-12,2.8073,
2013-12-13,2.7992,
2013-12-14,.,No value available
2013-12-15,.,No value available
2013-12-16,2.7970,
2013-12-17,2.8055,
2013-12-18,2.8137,
2013-12-19,2.8338,
2013-12-20,2.8583,
2013-12-21,.,No value available
2013-12-22,.,No value available
2013-12-23,2.8660,
2013-12-24,2.8476,
2013-12-25,.,No value available
2013-12-26,.,No value available
2013-12-27,2.9859,
2013-12-28,.,No value available
2013-12-29,.,No value available
2013-12-30,2.9348,
2013-12-31,2.9605,
2014-01-01,.,No value available
2014-01-02,2.9843,
2014-01-03,2.9637,
2014-01-04,.,No value available
2014-01-05,.,No value available
2014-01-06,2.9837,
2014-01-07,2.9566,
2014-01-08,2.9581,
2014-01-09,2.9745,
2014-01-10,2.9585,
2014-01-11,.,No value available
2014-01-12,.,No value available
2014-01-13,2.9730,
2014-01-14,2.9979,
2014-01-15,2.9858,
2014-01-16,2.9991,
2014-01-17,3.0142,
2014-01-18,.,No value available
2014-01-19,.,No value available
2014-01-20,3.0379,
2014-01-21,3.0459,
2014-01-22,3.0634,
2014-01-23,3.1056,
2014-01-24,3.1888,
2014-01-25,.,No value available
2014-01-26,.,No value available
2014-01-27,3.1650,
2014-01-28,3.0980,
2014-01-29,3.0445,
2014-01-30,3.0808,
2014-01-31,3.0742,
2014-02-01,.,No value available
2014-02-02,.,No value available
2014-02-03,3.0533,
2014-02-04,3.0411,
2014-02-05,3.0323,
